State,Zip_Code,City,Average_Auto_Insurance_Rate,City_y,Weather_Forecast,Weather_Description,Max_Temperature,Min_Temperature,Humidity
Wyoming,82725,Recluse,"$1,844 ",NaN,NaN,NaN,NaN,NaN,NaN
Wyoming,82801,Sheridan,"$2,896.66 ",Sheridan,Clouds,few clouds,-10.56,-12,60
Wyoming,83414,Alta,"$3,156.85 ",Jackson,Clouds,broken clouds,-6,-7,62
Idaho,83536,Kamiah,"$1,415 ",Lewiston,Clear,clear sky,2,-3,58
Idaho,83536,Kamiah,"$1,415 ",Lewiston,Clear,clear sky,2,-3,58
Idaho,83536,Kamiah,"$3,008.28 ",Lewiston,Clear,clear sky,2,-3,58
Idaho,83536,Kamiah,"$3,008.28 ",Lewiston,Clear,clear sky,2,-3,58
Idaho,83716,Boise,"$2,612.88 ",Boise,Clear,clear sky,7.22,5,22
Utah,84104,Salt Lake City,"$4,580.22 ",Salt Lake City,Rain,shower rain,1,-2.78,47
Utah,84180,Salt Lake City,"$1,910 ",Salt Lake City,Rain,shower rain,1,-2.78,47
Utah,84721,Cedar City,"$3,239.58 ",St. George,Mist,mist,1,1,86
Arizona,85009,Phoenix,"$5,479.07 ",Phoenix,Clouds,scattered clouds,31,27.78,29
Arizona,85017,Phoenix,"$2,595 ",Glendale,Clouds,few clouds,30.56,27.78,36
Arizona,86403,Lake Havasu City,"$2,883.46 ",Lake Havasu City,Clear,clear sky,29,27.22,21
New Mexico,87121,Albuquerque,"$2,030 ",Albuquerque,Clouds,broken clouds,22.78,20,18
New Mexico,87121,Albuquerque,"$2,030 ",Albuquerque,Clouds,broken clouds,22.78,20,18
New Mexico,87121,Albuquerque,"$4,364.29 ",Albuquerque,Clouds,broken clouds,22.78,20,18
New Mexico,87121,Albuquerque,"$4,364.29 ",Albuquerque,Clouds,broken clouds,22.78,20,18
New Mexico,88310,Alamogordo,"$2,948.89 ",El Paso,Clear,clear sky,27.78,17.78,15
Nevada,89101,Las Vegas,"$3,768 ",Las Vegas,Clear,clear sky,27,23.89,14
Nevada,89101,Las Vegas,"$3,768 ",Las Vegas,Clear,clear sky,27,23.89,14
Nevada,89101,Las Vegas,"$7,486.53 ",Las Vegas,Clear,clear sky,27,23.89,14
Nevada,89101,Las Vegas,"$7,486.53 ",Las Vegas,Clear,clear sky,27,23.89,14
Nevada,89406,Fallon,"$3,411.08 ",Reno,Dust,dust,8,6.11,20
California,90210,Beverly Hills,"$6,324.83 ",Beverly Hills,Clouds,broken clouds,20.56,17.78,59
California,91605,North Hollywood,"$3,767 ",Burbank,Clouds,broken clouds,20,16.67,48
California,93401,San Luis Obispo,"$2,731.32 ",San Luis Obispo,Clouds,overcast clouds,18.89,16.67,68
Hawaii,96703,Anahola,"$2,198.62 ",Mililani,Clouds,few clouds,28.89,27.22,78
Hawaii,96704,Captain Cook,"$2,859.11 ",Kailua-Kona,Rain,light rain,29.44,18.33,74
Hawaii,96781,Papaikou,"$1,773 ",Hilo,Clouds,few clouds,31,17.22,48
Oregon,97236,Portland,"$4,908.54 ",Portland,Clear,clear sky,9.44,6.11,23
Oregon,97266,Portland,"$2,068 ",Portland,Clear,clear sky,9.44,6.11,23
Oregon,97850,La Grande,"$2,953.60 ",Walla Walla,Clear,clear sky,2.22,1,55
Washington,98108,Boulevard Park,"$2,149 ",Seattle,Clouds,scattered clouds,9.44,6.67,34
Washington,98118,Seattle,"$4,079.23 ",Seattle,Clouds,scattered clouds,9.44,6.67,34
Washington,98368,Port Townsend,"$2,461.54 ",Everett,Clouds,broken clouds,8.89,6.11,61
Alaska,99504,Anchorage,"$1,877 ",Anchorage,Rain,light rain,2.22,0.56,80
Alaska,99504,Anchorage,"$1,877 ",Anchorage,Rain,light rain,2.22,0.56,80
Alaska,99504,Anchorage,"$3,132.74 ",Anchorage,Rain,light rain,2.22,0.56,80
Alaska,99504,Anchorage,"$3,132.74 ",Anchorage,Rain,light rain,2.22,0.56,80
Alaska,99820,Angoon,"$2,335.97 ",NaN,NaN,NaN,NaN,NaN,NaN
